Stop,Runtime,Line,Departure time,Arrival time
Sredzka,>,101,18:12:00,18:13:00
Eluarda,>,138,18:19:00,18:20:00
Brzezinska,>,137,18:30:00,18:31:00
Owczarska,>,137,18:31:00,18:32:00
Dolnobrzeska,>,137,18:32:00,18:33:00
Mokra,>,137,18:33:00,18:36:00
Las Mokrzanski,>,137,18:36:00,18:37:00
Brzezina - Biedronka,>,937,19:47:00,19:49:00
Brzezina - Zacisze,>,937,19:49:00,19:50:00

A* - TIME,0.0
From: ,Zabrodzie - petla,To: ,Lenartowice przy posesji nr 11a
Zabrodzie - petla,>,,,00:01:00

A* - TIME,1.466401
From: ,Waniliowa,To: ,Borowska (Szpital)
Waniliowa,>,,,20:46:00
Cynamonowa,>,143,20:54:00,20:55:00
Tymiankowa,>,143,20:55:00,20:56:00
Lipa Piotrowska,>,143,20:56:00,20:57:00
Kominiarska,>,143,20:57:00,20:58:00
Pelczynska (Stacja kolejowa),>,143,20:58:00,20:59:00
Ostowa (Muzeum Militarne),>,143,20:59:00,21:00:00
Cwiczebna,>,143,21:00:00,21:01:00
Obornicka (Obwodnica),>,143,21:01:00,21:02:00
Irysowa,>,143,21:02:00,21:03:00
Paprotna,>,105,21:07:00,21:08:00
Obornicka (Wolowska),>,105,21:08:00,21:09:00
Bezpieczna,>,105,21:09:00,21:10:00
Baltycka (szkola),>,105,21:10:00,21:11:00
Baltycka,>,105,21:11:00,21:12:00
Broniewskiego,>,105,21:12:00,21:14:00
Trzebnicka,>,70,21:19:00,21:22:00
DWORZEC NADODRZE,>,70,21:22:00,21:24:00
Slowianska,>,8,21:27:00,21:29:00
Nowowiejska,>,8,21:29:00,21:30:00
Jednosci Narodowej,>,8,21:30:00,21:31:00
Na Szancach,>,8,21:31:00,21:32:00
pl. Bema,>,8,21:32:00,21:33:00
Hala Targowa,>,8,21:33:00,21:35:00
pl. Nowy Targ,>,8,21:35:00,21:36:00
GALERIA DOMINIKANSKA,>,8,21:36:00,21:38:00
Wzgorze Partyzantow,>,8,21:38:00,21:40:00
DWORZEC GLOWNY,>,8,21:40:00,21:42:00
DWORZEC AUTOBUSOWY,>,N,21:45:00,21:47:00
Sanocka,>,9,21:50:00,21:52:00
Uniwersytet Ekonomiczny,>,9,21:52:00,21:53:00
Wisniowa,>,9,21:53:00,21:55:00
SPISKA (Osrodek sportu),>,136,21:58:00,21:59:00
ROD Bajki,>,136,21:59:00,22:00:00
Dzialkowa,>,136,22:00:00,22:01:00
Borowska (Szpital),>,113,22:10:00,22:11:00

A* - TIME,2.427355
From: ,Hala Orbita,To: ,Pisarzowice - Kolejowa
Hala Orbita,>,,,19:30:00
Wejherowska,>,119,19:31:00,19:34:00
Kwiska,>,119,19:34:00,19:36:00
DH Astra,>,33,19:41:00,19:43:00
Park Zachodni,>,33,19:43:00,19:44:00
Bajana,>,33,19:44:00,19:45:00
Metalowcow,>,33,19:45:00,19:46:00
PILCZYCE,>,33,19:46:00,19:48:00
Tarczynski Arena (Lotnicza),>,20,19:50:00,19:51:00
Glinianki,>,20,19:51:00,19:53:00
Aleja Architektow,>,20,19:53:00,19:54:00
Grabowa,>,20,19:54:00,19:55:00
Kosmonautow (Szpital),>,20,19:55:00,19:57:00
Kamiennogorska (Osrodek dla niewidomych),>,20,19:57:00,19:58:00
Zlotnicka,>,20,19:58:00,20:00:00
Wschowska,>,20,20:00:00,20:01:00
Jeleniogorska,>,20,20:01:00,20:02:00
LESNICA,>,20,20:02:00,20:03:00
RUBCZAKA (Stacja kolejowa),>,917,20:05:00,20:06:00
Rubczaka,>,917,20:06:00,20:07:00
Sredzka,>,123,20:08:00,20:09:00
Wolska,>,123,20:09:00,20:11:00
Polkowicka,>,123,20:11:00,20:13:00
Hartmana,>,123,20:13:00,20:14:00
Marszowicka,>,123,20:14:00,20:14:00
Bojanowska,>,123,20:14:00,20:15:00
Malomicka,>,123,20:15:00,20:16:00
Marszowice,>,123,20:16:00,20:17:00
Wilkszynska,>,923,20:38:00,20:40:00
Lososiowicka,>,923,20:40:00,20:41:00
Krzelowska,>,923,20:41:00,20:42:00
Wilkszyn - Miloszyn,>,923,20:42:00,20:43:00
Wilkszyn - Polna,>,923,20:43:00,20:44:00
Wilkszyn (petla),>,923,20:44:00,20:45:00
Pisarzowice - Graniczna,>,923,20:45:00,20:47:00
Pisarzowice - Odrzanska,>,923,20:47:00,20:49:00
Pisarzowice - Szkolna,>,923,20:49:00,20:50:00
Pisarzowice - Kolejowa,>,923,20:50:00,20:51:00

A* - TIME,0.294919
From: ,Kielczow - osiedle,To: ,Park Staromiejski
Kielczow - osiedle,>,,,13:30:00
Wilczyce - Sosnowa,>,911,13:49:00,13:50:00
Wilczyce - Debowa,>,911,13:50:00,13:51:00
Wilczyce - Dworska,>,911,13:51:00,13:52:00
Wilczyce - Borowa,>,911,13:52:00,13:53:00
Wilczyce - Wroclawska (na wys. nr 1F),>,911,13:53:00,13:54:00
Wilczyce,>,911,13:54:00,13:54:00
Mrozna,>,911,13:54:00,13:55:00
Kurlandzka,>,911,13:55:00,13:55:00
Zgorzelisko,>,911,13:55:00,13:56:00
Palacha,>,911,13:56:00,13:57:00
Szewczenki,>,911,13:57:00,13:58:00
Gorlicka,>,911,13:58:00,13:59:00
MULICKA,>,911,13:59:00,14:00:00
Psie Pole (Rondo Lotnikow Polskich),>,911,14:00:00,14:01:00
Psie Pole,>,911,14:01:00,14:02:00
Brucknera,>,D,14:03:00,14:08:00
Kwidzynska,>,D,14:08:00,14:10:00
Zacisze,>,D,14:10:00,14:11:00
Sniadeckich,>,D,14:11:00,14:12:00
Kochanowskiego,>,D,14:12:00,14:15:00
PL. GRUNWALDZKI,>,D,14:15:00,14:19:00
most Grunwaldzki,>,D,14:19:00,14:21:00
Poczta Glowna,>,D,14:21:00,14:24:00
GALERIA DOMINIKANSKA,>,D,14:24:00,14:27:00
Park Staromiejski,>,17,14:31:00,14:33:00

A* - TIME,5.856158
From: ,STABLOWICKA (Osrodek zdrowia),To: ,Kepa (na wys. nr 36)
STABLOWICKA (Osrodek zdrowia),>,,,03:36:00
Glowna,>,101,04:39:00,04:40:00
Welniana,>,103,04:47:00,04:49:00
Chwalkowska,>,103,04:49:00,04:50:00
Jedrzejowska,>,103,04:50:00,04:51:00
