Stop,Runtime,Line,Departure time,Arrival time
Malopanewska,>,3,05:43:00,05:44:00
Kwiska,>,3,05:44:00,05:46:00
DH Astra,>,3,05:46:00,05:48:00
Park Zachodni,>,3,05:48:00,05:49:00
Bajana,>,3,05:49:00,05:50:00
Metalowcow,>,3,05:50:00,05:51:00
PILCZYCE,>,3,05:51:00,05:53:00
Tarczynski Arena (Lotnicza),>,3,05:53:00,05:54:00
Glinianki,>,3,05:54:00,05:56:00
Aleja Architektow,>,3,05:56:00,05:57:00
Grabowa,>,3,05:57:00,05:58:00
Kosmonautow (Szpital),>,3,05:58:00,06:00:00

A* - TIME,0.001994
From: ,Dubois,To: ,Kielczow - Zgodna
Dubois,>,,,00:53:00

A* - TIME,1.304782
From: ,Wilczyce - Borowa,To: ,Dlugoleka - Parkowa skrzy. Konopnicka
Wilczyce - Borowa,>,,,13:04:00
Wilczyce - Wroclawska (na wys. nr 1F),>,911,13:33:00,13:34:00
Wilczyce,>,911,13:34:00,13:34:00
Mrozna,>,911,13:34:00,13:35:00
Kurlandzka,>,911,13:35:00,13:35:00
Zgorzelisko,>,911,13:35:00,13:36:00
Palacha,>,911,13:36:00,13:37:00
Szewczenki,>,911,13:37:00,13:38:00
Gorlicka,>,911,13:38:00,13:39:00
MULICKA,>,911,13:39:00,13:40:00
Psie Pole (Rondo Lotnikow Polskich),>,911,13:40:00,13:41:00
PSIE POLE (Stacja kolejowa),>,904,13:48:00,13:49:00
Dobroszycka,>,904,13:49:00,13:50:00
Bierutowska 65,>,904,13:50:00,13:50:00
Bierutowska,>,904,13:50:00,13:51:00
Bierutowska 75,>,904,13:51:00,13:51:00
BIERUTOWSKA (Wiadukt),>,904,13:51:00,13:52:00
Mirkow - Sportowa,>,904,13:52:00,13:54:00
Mirkow - Jagiellonska,>,904,13:54:00,13:56:00
Dlugoleka - Wiejska,>,904,13:56:00,13:59:00
Dlugoleka - Kasztanowa,>,904,13:59:00,14:01:00
Dlugoleka - Parkowa/skrzy.,>,904,14:01:00,14:03:00
Szczodre - Trzebnicka (na wys. nr 3a),>,904,14:03:00,14:04:00
Szczodre - Trzebnicka,>,904,14:04:00,14:05:00
Dlugoleka - Parkowa skrzy. Konopnicka,>,914,14:27:00,14:28:00

A* - TIME,0.671005
From: ,Kielczow - Zgodna,To: ,Krynicka
Kielczow - Zgodna,>,,,18:20:00
Piecowice,>,931,19:00:00,19:04:00
Kielczow - Boczna,>,911,19:10:00,19:14:00
Kielczow - petla (Plac Jana Gdaka),>,911,19:14:00,19:16:00
Kielczow - WODROL,>,911,19:16:00,19:18:00
Kielczow - osiedle,>,911,19:18:00,19:19:00
Wilczyce - Sosnowa,>,911,19:19:00,19:20:00
Wilczyce - Debowa,>,911,19:20:00,19:21:00
Wilczyce - Dworska,>,911,19:21:00,19:22:00
Wilczyce - Borowa,>,911,19:22:00,19:23:00
Wilczyce - Wroclawska (na wys. nr 1F),>,911,19:23:00,19:24:00
Wilczyce,>,911,19:24:00,19:24:00
Mrozna,>,911,19:24:00,19:25:00
Kurlandzka,>,911,19:25:00,19:25:00
Zgorzelisko,>,911,19:25:00,19:26:00
Palacha,>,911,19:26:00,19:27:00
Szewczenki,>,911,19:27:00,19:28:00
Gorlicka,>,911,19:28:00,19:29:00
MULICKA,>,911,19:29:00,19:30:00
Psie Pole (Rondo Lotnikow Polskich),>,911,19:30:00,19:31:00
Psie Pole,>,911,19:31:00,19:32:00
C.H. Korona,>,911,19:32:00,19:36:00
Brucknera,>,911,19:36:00,19:38:00
Kwidzynska,>,911,19:38:00,19:40:00
Sniadeckich,>,911,19:40:00,19:42:00
Kochanowskiego,>,911,19:42:00,19:44:00
PL. GRUNWALDZKI,>,911,19:44:00,19:46:00
most Grunwaldzki,>,146,19:48:00,19:50:00
Poczta Glowna,>,146,19:50:00,19:52:00
skwer Krasinskiego,>,146,19:52:00,19:55:00
Dworzec Glowny (Dworcowa),>,146,19:55:00,19:56:00
DWORZEC GLOWNY,>,146,19:56:00,19:59:00
DWORZEC AUTOBUSOWY,>,146,19:59:00,20:01:00
Dyrekcyjna,>,146,20:01:00,20:02:00
Borowska,>,146,20:02:00,20:04:00
Sliczna,>,146,20:04:00,20:06:00
ROD Bajki,>,146,20:06:00,20:07:00
Orzechowa,>,146,20:07:00,20:08:00
Bardzka,>,146,20:08:00,20:10:00
Krynicka,>,146,20:10:00,20:11:00

A* - TIME,3.464111
From: ,WALBRZYSKA,To: ,Olsztynska
WALBRZYSKA,>,,,06:08:00
Koscielna,>,107,06:11:00,06:12:00
KLECINA,>,107,06:12:00,06:13:00
Skarbowcow,>,107,06:13:00,06:14:00
Os. Przyjazni,>,107,06:14:00,06:15:00
Zimowa,>,107,06:15:00,06:16:00
KRZYKI,>,107,06:16:00,06:18:00
Orla,>,2,06:20:00,06:22:00
Jastrzebia,>,2,06:22:00,06:23:00
Hallera,>,2,06:23:00,06:24:00
Sztabowa,>,2,06:24:00,06:25:00
Rondo,>,2,06:25:00,06:26:00
Wielka,>,2,06:26:00,06:28:00
Zaolzianska,>,2,06:28:00,06:29:00
Arkady (Capitol),>,2,06:29:00,06:32:00
DWORZEC GLOWNY,>,2,06:32:00,06:35:00
Wzgorze Partyzantow,>,2,06:35:00,06:37:00
GALERIA DOMINIKANSKA,>,2,06:37:00,06:40:00
Urzad Wojewodzki (Muzeum Narodowe),>,2,06:40:00,06:43:00
Katedra,>,2,06:43:00,06:44:00
Reja,>,2,06:44:00,06:46:00
PL. GRUNWALDZKI,>,2,06:46:00,06:49:00
Kochanowskiego,>,D,06:52:00,06:55:00
Sniadeckich,>,D,06:55:00,06:56:00
Zacisze,>,D,06:56:00,06:57:00
Kwidzynska,>,D,06:57:00,06:59:00
Brucknera,>,D,06:59:00,07:00:00
Olsztynska,>,118,07:31:00,07:33:00

A* - TIME,0.751991
From: ,Szkolna,To: ,KMINKOWA
Szkolna,>,,,06:41:00
Miodowa,>,917,06:48:00,06:49:00
Trzmielowicka,>,917,06:49:00,06:51:00
Serowarska,>,917,06:51:00,06:52:00
Sredzka,>,917,06:52:00,06:54:00
LESNICA,>,917,06:54:00,06:56:00
Jeleniogorska,>,20,06:57:00,06:58:00
Wschowska,>,20,06:58:00,06:59:00
Zlotnicka,>,20,06:59:00,07:00:00
Kamiennogorska (Osrodek dla niewidomych),>,20,07:00:00,07:01:00
Kosmonautow (Szpital),>,20,07:01:00,07:02:00
Grabowa,>,20,07:02:00,07:04:00
Aleja Architektow,>,20,07:04:00,07:05:00
Glinianki,>,20,07:05:00,07:06:00
Tarczynski Arena (Lotnicza),>,20,07:06:00,07:07:00
PILCZYCE,>,20,07:07:00,07:09:00
Metalowcow,>,20,07:09:00,07:10:00
Bajana,>,20,07:10:00,07:12:00
Park Zachodni,>,20,07:12:00,07:13:00
DH Astra,>,20,07:13:00,07:14:00
Kwiska,>,20,07:14:00,07:16:00
Wejherowska,>,122,07:18:00,07:20:00
Hala Orbita,>,129,07:24:00,07:26:00
most Milenijny,>,129,07:26:00,07:27:00
Obornicka (Obwodnica),>,143,07:30:00,07:34:00
Ostowa (Muzeum Militarne),>,143,07:34:00,07:35:00
Pelczynska (Stacja kolejowa),>,143,07:35:00,07:36:00
Kominiarska,>,143,07:36:00,07:37:00
Lipa Piotrowska,>,143,07:37:00,07:38:00
Tymiankowa,>,143,07:38:00,07:39:00
Cynamonowa,>,143,07:39:00,07:40:00
Waniliowa,>,143,07:40:00,07:41:00
KMINKOWA,>,143,07:41:00,07:43:00

A* - TIME,0.860801
From: ,Rynek,To: ,Klimasa
Rynek,>,,,02:18:00
PL. JANA PAWLA II,>,10,03:47:00,03:50:00
Mlodych Technikow,>,10,03:50:00,03:52:00
pl. Strzegomski (Muzeum Wspolczesne),>,10,03:52:00,03:53:00
ZACHODNIA (Stacja kolejowa),>,10,03:53:00,03:55:00
Niedzwiedzia,>,10,03:55:00,03:57:00
Malopanewska,>,10,03:57:00,03:58:00
Kwiska,>,10,03:58:00,04:00:00
Na Ostatnim Groszu,>,129,04:09:00,04:11:00
Gadowianka,>,126,04:12:00,04:14:00
Szkocka,>,126,04:14:00,04:16:00
Wroclawski Park Technologiczny,>,126,04:16:00,04:17:00
ROD Oswiata,>,126,04:17:00,04:18:00
FAT,>,126,04:18:00,04:20:00
Hutmen,>,126,04:20:00,04:21:00
Bzowa (Centrum Zajezdnia),>,126,04:21:00,04:22:00
pl. Srebrny,>,126,04:22:00,04:23:00
Stalowa,>,126,04:23:00,04:24:00
Pereca,>,126,04:24:00,04:25:00
Grabiszynska,>,126,04:25:00,04:27:00
Zaporoska,>,126,04:27:00,04:29:00
Rondo,>,126,04:29:00,04:30:00
Drukarska,>,134,04:32:00,04:35:00
Uniwersytet Ekonomiczny,>,134,04:35:00,04:36:00
Borowska,>,134,04:36:00,04:38:00
Wapienna,>,134,04:38:00,04:39:00
Widna,>,134,04:39:00,04:40:00
Kamienna,>,134,04:40:00,04:41:00
Bardzka,>,134,04:41:00,04:43:00
Nyska,>,134,04:43:00,04:44:00
Transbud,>,134,04:44:00,04:45:00
Klimasa,>,8,04:52:00,04:53:00

A* - TIME,0.456824
From: ,SZYMANOW-petla,To: ,Libelta
SZYMANOW-petla,>,,,22:30:00
Szymanow (Letnia),>,908,22:49:00,22:50:00
Szymanow,>,908,22:50:00,22:51:00
Szymanow (Widawska),>,908,22:51:00,22:52:00
Szymanow - skrzyz.,>,908,22:52:00,22:53:00
Psary - Szkola,>,908,22:53:00,22:54:00
Widawa,>,908,22:54:00,22:57:00
Konopackiej,>,908,22:57:00,22:58:00
Rondo Obroncow Grodna,>,908,22:58:00,22:59:00
Lekarska,>,908,22:59:00,23:00:00
Zmigrodzka (Obwodnica),>,908,23:00:00,23:01:00
POSWIETNE,>,908,23:01:00,23:02:00
Wolowska,>,908,23:02:00,23:03:00
Kepinska,>,908,23:03:00,23:04:00
Kamienskiego,>,908,23:04:00,23:05:00
Broniewskiego,>,908,23:05:00,23:06:00
Pola,>,119,23:10:00,23:11:00
Syrokomli,>,119,23:11:00,23:12:00
Kasprowicza,>,119,23:12:00,23:13:00
pl. Danilowskiego,>,119,23:13:00,23:14:00
Berenta,>,151,23:16:00,23:17:00
KROMERA,>,151,23:17:00,23:19:00
Kwidzynska,>,151,23:19:00,23:21:00
Zacisze,>,131,23:27:00,23:28:00
Sniadeckich,>,131,23:28:00,23:29:00
Kochanowskiego,>,131,23:29:00,23:30:00
Bujwida,>,131,23:30:00,23:31:00
PL. GRUNWALDZKI,>,131,23:31:00,23:33:00
Kliniki - Politechnika Wroclawska,>,255,23:40:00,23:41:00
Hala Stulecia,>,255,23:41:00,23:42:00
Tramwajowa,>,255,23:42:00,23:43:00
Chelmonskiego,>,255,23:43:00,23:44:00
Piramowicza,>,255,23:44:00,23:45:00
Spoldzielcza,>,255,23:45:00,23:46:00
Monte Cassino,>,255,23:46:00,23:47:00
Libelta,>,255,23:47:00,23:48:00

A* - TIME,0.154644
From: ,Jedrzejowska,To: ,REDZINSKA
Jedrzejowska,>,,,12:31:00
Brodzka,>,102,12:34:00,12:35:00
Kozia,>,102,12:35:00,12:36:00
Polnocna,>,102,12:36:00,12:37:00
Maslicka (Staw),>,102,12:37:00,12:38:00
Maslice Male (Brodnicka),>,102,12:38:00,12:39:00
Redzinska (Cmentarz),>,102,12:39:00,12:40:00
Turoszowska,>,104,13:04:00,13:06:00
REDZINSKA,>,104,13:06:00,13:07:00

A* - TIME,1.175446
From: ,Bojanowska,To: ,Bociania
Bojanowska,>,,,19:28:00
Marszowicka,>,123,19:28:00,19:29:00
Hartmana,>,123,19:29:00,19:30:00
Polkowicka,>,123,19:30:00,19:31:00
Wolska,>,123,19:31:00,19:33:00
Sredzka,>,123,19:33:00,19:35:00
Rubczaka,>,123,19:35:00,19:36:00
RUBCZAKA (Stacja kolejowa),>,123,19:36:00,19:37:00
LESNICA,>,123,19:37:00,19:38:00
Jeleniogorska,>,3,19:41:00,19:42:00
Wschowska,>,3,19:42:00,19:43:00
Zlotnicka,>,3,19:43:00,19:44:00
Kamiennogorska (Osrodek dla niewidomych),>,3,19:44:00,19:45:00
Kosmonautow (Szpital),>,3,19:45:00,19:46:00
Grabowa,>,3,19:46:00,19:48:00
Aleja Architektow,>,3,19:48:00,19:49:00
Glinianki,>,3,19:49:00,19:50:00
Tarczynski Arena (Lotnicza),>,3,19:50:00,19:51:00
PILCZYCE,>,3,19:51:00,19:53:00
Metalowcow,>,3,19:53:00,19:54:00
Bajana,>,3,19:54:00,19:56:00
Park Zachodni,>,3,19:56:00,19:57:00
DH Astra,>,3,19:57:00,19:58:00
Kwiska,>,3,19:58:00,20:00:00
Wejherowska,>,128,20:02:00,20:04:00
Rysia,>,128,20:04:00,20:05:00
DLUGA (Politechnika),>,C ,20:06:00,20:08:00
Poznanska,>,C ,20:08:00,20:09:00
Dluga,>,C ,20:09:00,20:10:00
Dmowskiego,>,C ,20:10:00,20:13:00
Pomorska,>,C ,20:13:00,20:15:00
pl. Bema,>,C ,20:15:00,20:18:00
Na Szancach,>,11,20:20:00,20:21:00
Jednosci Narodowej,>,11,20:21:00,20:22:00
Nowowiejska,>,11,20:22:00,20:24:00
Daszynskiego,>,11,20:24:00,20:25:00
Mosty Warszawskie,>,11,20:25:00,20:26:00
KROMERA,>,11,20:26:00,20:29:00
Ketrzynska,>,11,20:29:00,20:30:00
Kwidzynska,>,11,20:30:00,20:31:00
Gesia,>,11,20:31:00,20:32:00
Bociania,>,11,20:32:00,20:34:00

A* - TIME,2.179697
From: ,Ramiszow,To: ,Wysoka - osiedle
Ramiszow,>,,,14:13:00
Przebisniegowa,>,936,15:42:00,15:45:00
Pawlowicka,>,936,15:45:00,15:46:00
Malwowa,>,936,15:46:00,15:47:00
Azaliowa,>,936,15:47:00,15:48:00
Przedwiosnie (Stacja kolejowa),>,936,15:48:00,15:51:00
Wallenroda,>,936,15:51:00,15:52:00
Psie Pole (Rondo Lotnikow Polskich),>,936,15:52:00,15:55:00
Psie Pole,>,111,15:56:00,15:57:00
Zielna,>,111,15:57:00,15:58:00
C.H. Korona,>,111,15:58:00,16:00:00
Brucknera,>,128,16:02:00,16:04:00
Kwidzynska,>,131,16:06:00,16:08:00
Zacisze,>,131,16:08:00,16:09:00
Sniadeckich,>,131,16:09:00,16:10:00
Kochanowskiego,>,131,16:10:00,16:13:00
Bujwida,>,131,16:13:00,16:15:00
PL. GRUNWALDZKI,>,131,16:15:00,16:17:00
most Grunwaldzki,>,4,16:18:00,16:19:00
Urzad Wojewodzki (Impart),>,4,16:19:00,16:21:00
GALERIA DOMINIKANSKA,>,4,16:21:00,16:25:00
Wzgorze Partyzantow,>,9,16:26:00,16:28:00
DWORZEC GLOWNY,>,9,16:28:00,16:30:00
DWORZEC AUTOBUSOWY,>,K,16:32:00,16:34:00
Sanocka,>,9,16:35:00,16:38:00
Uniwersytet Ekonomiczny,>,9,16:38:00,16:40:00
Wisniowa,>,9,16:40:00,16:42:00
Jaworowa,>,9,16:42:00,16:43:00
Weigla (Szpital),>,9,16:43:00,16:45:00
Pultuska,>,9,16:45:00,16:46:00
PARK POLUDNIOWY,>,9,16:46:00,16:47:00
Wyscigowa,>,112,16:50:00,16:52:00
Malinowa,>,112,16:52:00,16:53:00
Ozynowa,>,112,16:53:00,16:54:00
rondo Sw. Ojca Pio,>,112,16:54:00,16:56:00
Wysoka - osiedle,>,112,16:56:00,16:58:00

A* - TIME,2.751782
From: ,Kolejowa,To: ,Kamien - skrzy. Krysztalowa
Kolejowa,>,,,20:42:00
pl. Legionow,>,4,20:43:00,20:45:00
Narodowe Forum Muzyki,>,4,20:45:00,20:47:00
Zamkowa,>,4,20:47:00,20:48:00
Swidnicka,>,4,20:48:00,20:50:00
GALERIA DOMINIKANSKA,>,4,20:50:00,20:53:00
Urzad Wojewodzki (Impart),>,4,20:53:00,20:56:00
most Grunwaldzki,>,4,20:56:00,20:57:00
PL. GRUNWALDZKI,>,4,20:57:00,20:59:00
Kochanowskiego,>,D,21:04:00,21:07:00
Sniadeckich,>,D,21:07:00,21:08:00
Zacisze,>,D,21:08:00,21:09:00
Kwidzynska,>,D,21:09:00,21:11:00
Brucknera,>,D,21:11:00,21:12:00
Psie Pole,>,D,21:12:00,21:16:00
Psie Pole (Rondo Lotnikow Polskich),>,D,21:16:00,21:17:00
PSIE POLE (Stacja kolejowa),>,914,21:40:00,21:41:00
Dobroszycka,>,914,21:41:00,21:42:00
Bierutowska 65,>,914,21:42:00,21:42:00
Bierutowska,>,914,21:42:00,21:43:00
Bierutowska 75,>,914,21:43:00,21:43:00
BIERUTOWSKA (Wiadukt),>,914,21:43:00,21:44:00
Mirkow - Sportowa,>,914,21:44:00,21:45:00
Mirkow - Jagiellonska,>,914,21:45:00,21:47:00
Dlugoleka - Wiejska,>,914,21:47:00,21:49:00
Dlugoleka - Kasztanowa,>,914,21:49:00,21:50:00
Dlugoleka - Parkowa/skrzy.,>,904,23:16:00,23:17:00
Szczodre - Trzebnicka (na wys. nr 3a),>,904,23:17:00,23:18:00
Szczodre - Trzebnicka,>,904,23:18:00,23:19:00
Szczodre - petla,>,904,23:19:00,23:20:00
Szczodre - Szkola,>,904,23:20:00,23:21:00
Szczodre - stawy,>,904,23:21:00,23:23:00
Losice,>,904,23:23:00,23:25:00
Dabrowica,>,904,23:25:00,23:27:00
Dobroszow - skrzy. Wegierska,>,904,23:27:00,23:29:00
Dobroszow Olesnicki,>,904,23:29:00,23:30:00
Januszkowice - Wroclawska,>,904,23:30:00,23:32:00
Januszkowice - Wierzbowa,>,904,23:32:00,23:33:00
Januszkowice - skrzy. Kepa,>,904,23:33:00,23:34:00
Michalowice Skrzyzowanie,>,904,23:34:00,23:36:00
Kepa,>,904,23:36:00,23:38:00
Kepa (na wys. nr 36),>,904,23:38:00,23:39:00
Kepa - skrzy.,>,904,23:39:00,23:40:00
Bierzyce,>,904,23:40:00,23:41:00
Lozina - Milicka/szkola,>,904,23:41:00,23:41:00
Lozina - Milicka/poczta,>,904,23:41:00,23:42:00
Lozina - skrzy.,>,904,23:42:00,23:44:00

A* - TIME,3.206697
From: ,GAJ - petla,To: ,Brzezinka Sredzka - ul. Parkowa
GAJ - petla,>,,,17:14:00
Swieradowska,>,K,17:14:00,17:15:00
GAJ,>,K,17:15:00,17:17:00
Dzialkowa,>,K,17:17:00,17:19:00
Sliczna,>,K,17:19:00,17:21:00
Borowska,>,K,17:21:00,17:23:00
DWORZEC AUTOBUSOWY,>,K,17:23:00,17:26:00
DWORZEC GLOWNY,>,K,17:26:00,17:29:00
Arkady (Capitol),>,5,17:31:00,17:34:00
pl. Legionow,>,5,17:34:00,17:36:00
pl. Orlat Lwowskich,>,32,17:37:00,17:39:00
PL. JANA PAWLA II,>,32,17:39:00,17:42:00
Mlodych Technikow,>,32,17:42:00,17:44:00
pl. Strzegomski (Muzeum Wspolczesne),>,32,17:44:00,17:45:00
ZACHODNIA (Stacja kolejowa),>,32,17:45:00,17:47:00
Niedzwiedzia,>,32,17:47:00,17:49:00
Malopanewska,>,32,17:49:00,17:50:00
Kwiska,>,32,17:50:00,17:52:00
DH Astra,>,10,17:54:00,17:56:00
Park Zachodni,>,10,17:56:00,17:57:00
Bajana,>,10,17:57:00,17:58:00
Metalowcow,>,10,17:58:00,17:59:00
PILCZYCE,>,10,17:59:00,18:01:00
Tarczynski Arena (Lotnicza),>,10,18:01:00,18:02:00
Glinianki,>,10,18:02:00,18:04:00
Aleja Architektow,>,10,18:04:00,18:05:00
Grabowa,>,10,18:05:00,18:06:00
Kosmonautow (Szpital),>,10,18:06:00,18:08:00
Kamiennogorska (Osrodek dla niewidomych),>,10,18:08:00,18:09:00
Zlotnicka,>,10,18:09:00,18:11:00
Wschowska,>,10,18:11:00,18:12:00
Jeleniogorska,>,10,18:12:00,18:13:00
Sniezna,>,101,18:16:00,18:17:00
Ciechocinska,>,101,18:17:00,18:18:00
Stablowice,>,101,18:18:00,18:19:00
Park Stablowicki,>,101,18:19:00,18:20:00
Glowna,>,101,18:20:00,18:21:00
Marszowice,>,123,18:24:00,18:26:00
Wilkszynska,>,923,18:28:00,18:30:00
Lososiowicka,>,923,18:30:00,18:31:00
Krzelowska,>,923,18:31:00,18:32:00
Wilkszyn - Miloszyn,>,923,18:32:00,18:33:00
Wilkszyn - Polna,>,923,18:33:00,18:34:00
Wilkszyn (petla),>,923,18:34:00,18:35:00
Pisarzowice - Graniczna,>,923,18:35:00,18:37:00
Pisarzowice - Odrzanska,>,923,18:37:00,18:39:00
Pisarzowice - Szkolna,>,923,18:39:00,18:40:00
Pisarzowice - Kolejowa,>,923,18:40:00,18:41:00
Brzezinka Sredzka - ul. Kolejowa,>,923,18:41:00,18:43:00
Brzezinka Sredzka - PKP,>,923,18:43:00,18:43:00
Brzezinka Sredzka - ul. Parkowa,>,923,18:43:00,18:46:00

A* - TIME,2.165412
From: ,Morwowa,To: ,Jasinskiej
Morwowa,>,,,15:15:00
Krynicka,>,31,15:15:00,15:16:00
Bardzka,>,31,15:16:00,15:17:00
Kamienna,>,31,15:17:00,15:18:00
Prudnicka,>,31,15:18:00,15:19:00
Gajowa,>,31,15:19:00,15:20:00
Joannitow,>,31,15:20:00,15:22:00
DWORZEC AUTOBUSOWY,>,31,15:22:00,15:25:00
Dworzec Glowny (Stawowa),>,31,15:25:00,15:27:00
Arkady (Capitol),>,31,15:27:00,15:29:00
pl. Legionow,>,31,15:29:00,15:31:00
pl. Orlat Lwowskich,>,31,15:31:00,15:33:00
PL. JANA PAWLA II,>,31,15:33:00,15:36:00
Mlodych Technikow,>,31,15:36:00,15:38:00
pl. Strzegomski (Muzeum Wspolczesne),>,31,15:38:00,15:39:00
ZACHODNIA (Stacja kolejowa),>,31,15:39:00,15:41:00
Niedzwiedzia,>,31,15:41:00,15:43:00
Malopanewska,>,31,15:43:00,15:44:00
Kwiska,>,31,15:44:00,15:46:00
Na Ostatnim Groszu,>,143,15:48:00,15:51:00
Orlinskiego,>,129,15:52:00,15:53:00
Drzewieckiego,>,129,15:53:00,15:54:00
Hynka,>,129,15:54:00,15:56:00
Bystrzycka,>,129,15:56:00,15:58:00
KUZNIKI (Stacja kolejowa),>,129,15:58:00,15:59:00
KUZNIKI,>,129,15:59:00,16:01:00
Kolobrzeska,>,129,16:01:00,16:02:00
Szczecinska,>,109,16:05:00,16:07:00
Zerniki,>,109,16:07:00,16:09:00
Strachowicka,>,109,16:09:00,16:10:00
Zernicka,>,109,16:10:00,16:11:00
Jerzmanowska nr 9,>,109,16:11:00,16:12:00
Jerzmanowska nr 17,>,109,16:12:00,16:13:00
Jerzmanowo (Cmentarz I),>,109,16:13:00,16:16:00
Piolunowa,>,109,16:16:00,16:17:00
Jasinskiej,>,109,16:17:00,16:18:00

A* - TIME,1.873304
From: ,Wysoka - Chabrowa,To: ,Kurlandzka
Wysoka - Chabrowa,>,,,17:44:00
Wysoka,>,913,17:46:00,17:47:00
ROD Storczyk,>,112,18:02:00,18:03:00
Kutrzeby,>,112,18:03:00,18:04:00
Oltaszyn,>,112,18:04:00,18:07:00
Swit,>,112,18:07:00,18:08:00
Parafialna,>,112,18:08:00,18:10:00
Wojszyce,>,112,18:10:00,18:11:00
Przystankowa,>,112,18:11:00,18:13:00
Borowska (Szpital),>,112,18:13:00,18:14:00
Dzialkowa,>,112,18:14:00,18:16:00
ROD Bajki,>,112,18:16:00,18:18:00
Sliczna,>,112,18:18:00,18:19:00
Borowska,>,112,18:19:00,18:20:00
DWORZEC AUTOBUSOWY,>,112,18:20:00,18:23:00
DWORZEC GLOWNY,>,112,18:23:00,18:26:00
GALERIA DOMINIKANSKA,>,K,18:28:00,18:32:00
Urzad Wojewodzki (Impart),>,4,18:33:00,18:36:00
most Grunwaldzki,>,4,18:36:00,18:37:00
PL. GRUNWALDZKI,>,4,18:37:00,18:39:00
Bujwida,>,121,18:41:00,18:43:00
Kochanowskiego,>,121,18:43:00,18:45:00
Sniadeckich,>,121,18:45:00,18:46:00
Zacisze,>,121,18:46:00,18:47:00
Kwidzynska,>,121,18:47:00,18:49:00
Brucknera,>,121,18:49:00,18:51:00
C.H. Korona,>,121,18:51:00,18:53:00
Zielna,>,121,18:53:00,18:55:00
Psie Pole,>,121,18:55:00,18:56:00
Psie Pole (Rondo Lotnikow Polskich),>,121,18:56:00,18:58:00
MULICKA,>,121,18:58:00,18:59:00
Gorlicka,>,121,18:59:00,19:00:00
Palacha,>,911,19:05:00,19:06:00
Zgorzelisko,>,911,19:06:00,19:07:00
Kurlandzka,>,911,19:07:00,19:07:00

A* - TIME,0.0
From: ,Kaczorowskiego,To: ,Lososiowicka
Kaczorowskiego,>,,,01:35:00

A* - TIME,0.578963
From: ,Kowale (Stacja kolejowa),To: ,METALOWCOW (Osrodek sportu)
Kowale (Stacja kolejowa),>,,,22:30:00
Kowalska 56,>,118,22:50:00,22:51:00
Olsztynska,>,118,22:51:00,22:52:00
C.H. Korona,>,118,22:52:00,22:54:00
Brucknera,>,118,22:54:00,22:56:00
Kwidzynska,>,118,22:56:00,22:58:00
KROMERA,>,118,22:58:00,23:01:00
Berenta,>,118,23:01:00,23:03:00
pl. Danilowskiego,>,118,23:03:00,23:04:00
Kasprowicza,>,118,23:04:00,23:05:00
Syrokomli,>,118,23:05:00,23:06:00
Pola,>,118,23:06:00,23:07:00
Broniewskiego,>,118,23:07:00,23:08:00
Baltycka,>,118,23:08:00,23:10:00
Bezpieczna,>,118,23:10:00,23:11:00
Paprotna,>,129,23:16:00,23:17:00
Irysowa,>,111,23:23:00,23:24:00
Obornicka (Obwodnica),>,111,23:24:00,23:25:00
Ostowa (Muzeum Militarne),>,111,23:25:00,23:26:00
Cwiczebna,>,143,23:28:00,23:29:00

A* - TIME,0.76056
From: ,Poznanska,To: ,Brodzka
Poznanska,>,,,19:09:00
DLUGA (Politechnika),>,122,19:09:00,19:10:00
POPOWICE (Stacja kolejowa),>,122,19:10:00,19:11:00
Popowice,>,122,19:11:00,19:12:00
Rysia,>,122,19:12:00,19:14:00
Wejherowska,>,122,19:14:00,19:16:00
Kolista,>,127,19:20:00,19:23:00
PILCZYCKA (Anima),>,31,19:27:00,19:28:00
Modra,>,31,19:28:00,19:29:00
Gornicza,>,31,19:29:00,19:30:00
Dworska,>,31,19:30:00,19:32:00
TARCZYNSKI ARENA (Krolewiecka),>,31,19:32:00,19:33:00
Maslicka (Osiedle),>,102,19:35:00,19:36:00
Redzinska (Cmentarz),>,102,19:36:00,19:37:00
Maslice Male (Brodnicka),>,102,19:37:00,19:38:00
Sliwowa,>,102,19:38:00,19:39:00
Maslicka (Staw),>,102,19:39:00,19:40:00
Polnocna,>,102,19:40:00,19:41:00
Kozia,>,102,19:41:00,19:42:00
Brodzka,>,102,19:42:00,19:43:00

A* - TIME,3.206334
From: ,Pruszowice - las,To: ,Fieldorfa
Pruszowice - las,>,,,04:26:00
Odolanowska,>,934,04:56:00,04:59:00
Odrodzenia Polski,>,934,04:59:00,04:59:00
ZAKRZOW,>,934,04:59:00,05:00:00
Przedwiosnie (Stacja kolejowa),>,934,05:00:00,05:01:00
Wallenroda,>,934,05:01:00,05:02:00
Psie Pole (Rondo Lotnikow Polskich),>,934,05:02:00,05:04:00
Psie Pole,>,111,05:05:00,05:06:00
Brucknera,>,N,05:10:00,05:14:00
Grudziadzka,>,N,05:14:00,05:15:00
Kromera (Czajkowskiego),>,N,05:15:00,05:16:00
KROMERA,>,N,05:16:00,05:18:00
Mosty Warszawskie,>,N,05:18:00,05:20:00
Wyszynskiego,>,N,05:20:00,05:22:00
Ogrod Botaniczny,>,N,05:22:00,05:25:00
Swietokrzyska,>,111,05:26:00,05:27:00
pl. Bema,>,111,05:27:00,05:28:00
